threshold	method	site	taxon	sites_present	assignment_entropy	consensus_module	module_prob_1	module_prob_2	module_prob_3	module_prob_4	module_prob_5	module_prob_6	module_prob_7	module_prob_8	module_prob_9	module_prob_10	module_prob_11	module_prob_12	module_prob_13	module_prob_14	module_prob_15	module_prob_16	module_prob_17
prev_5	spearman	ST8	S__GCA_011055585.1	4	2.8310604095458984	M17	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.06747948378324509	0.0599539652466774	0.056883521378040314	0.056883521378040314	0.0582217313349247	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.061207037419080734	0.07053547352552414
prev_5	spearman	ST8	S__GCA_012960805.1	4	-0.0	M17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
prev_5	spearman	ST8	S__GCA_012964335.1	4	-0.0	M17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
prev_5	spearman	ST8	S__GCA_012964845.1	3	-0.0	M17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
prev_5	spearman	ST8	S__GCA_012974305.1	3	-0.0	M17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
prev_5	spearman	ST8	S__GCA_012974425.1	3	-0.0	M17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
prev_5	spearman	ST8	S__GCA_013203245.1	2	-0.0	M17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
prev_5	spearman	ST8	S__GCA_013215285.1	4	2.8310604095458984	M17	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.06747948378324509	0.0599539652466774	0.056883521378040314	0.056883521378040314	0.0582217313349247	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.061207037419080734	0.07053547352552414
prev_5	spearman	ST8	S__GCA_013390475.1	4	2.8310604095458984	M17	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.06747948378324509	0.0599539652466774	0.056883521378040314	0.056883521378040314	0.0582217313349247	0.056883521378040314	0.056883521378040314	0.056883521378040314	0.061207037419080734	0.07053547352552414
prev_5	spearman	ST8	S__GCA_013390745.1	2	-0.0	M17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
prev_5	spearman	ST8	S__GCA_013911135.1	4	-0.0	M17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
prev_5	spearman	ST8	S__GCA_014238785.1	2	-0.0	M17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
prev_5	spearman	ST8	S__GCA_014384445.1	2	-0.0	M17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
